Binary,Function,Type,LINK,Attack
AppInstaller.exe,Function: Download,Type: Binaries,Link: https://lolbas-project.github.io/lolbas/Binaries/AppInstaller/,ATT&CK Technique: T1105: Ingress Tool Transfer
Aspnet_Compiler.exe,Function: AWL bypass,Type: Binaries,Link: https://lolbas-project.github.io/lolbas/Binaries/Aspnet_Compiler/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
At.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/At/ ,ATT&CK Technique: T1053.002: At
Atbroker.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Atbroker/,ATT&CK Technique: T1218: System Binary Proxy Execution
Bash.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bash/,ATT&CK Technique: T1202: Indirect Command Execution
Bash.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bash/,ATT&CK Technique: T1202: Indirect Command Execution
Bitsadmin.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,ATT&CK Technique: T1564.004: NTFS File Attributes
Bitsadmin.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,ATT&CK Technique: T1105: Ingress Tool Transfer
Bitsadmin.exe,Function: Copy,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,ATT&CK Technique: T1218: System Binary Proxy Execution
Bitsadmin.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,ATT&CK Technique: T1218: System Binary Proxy Execution
CertOC.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certoc/,ATT&CK Technique: T1218: System Binary Proxy Execution
CertOC.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certoc/,ATT&CK Technique: T1105: Ingress Tool Transfer
CertReq.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certreq/,ATT&CK Technique: T1105: Ingress Tool Transfer
CertReq.exe,Function: Upload,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certreq/,ATT&CK Technique: T1105: Ingress Tool Transfer
Certutil.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certutil/,ATT&CK Technique: T1105: Ingress Tool Transfer
Certutil.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certutil/,ATT&CK Technique: T1564.004: NTFS File Attributes
Certutil.exe,Function: Encode,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certutil/,ATT&CK Technique: T1027: Obfuscated Files or Information
Certutil.exe,Function: Decode,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Certutil/,ATT&CK Technique: T1140: Deobfuscate/Decode Files or Information
Cmd.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cmd/,ATT&CK Technique: T1059.003: Windows Command Shell
Cmdkey.exe,Function: Credentials,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cmdkey/,ATT&CK Technique: T1078: Valid Accounts
cmdl32.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cmdl32/,ATT&CK Technique: T1105: Ingress Tool Transfer
Cmstp.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cmstp/,ATT&CK Technique: T1218.003: CMSTP
Cmstp.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cmstp/,ATT&CK Technique: T1218.003: CMSTP
ConfigSecurityPolicy.exe,Function: Upload,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPo=,ATT&CK Technique: T1567: Exfiltration Over Web Service
Conhost.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Conhost/,ATT&CK Technique: T1202: Indirect Command Execution
Control.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Control/,ATT&CK Technique: T1218.002: Control Panel
Csc.exe,Function: Compile,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Csc/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Cscript.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Cscript/,ATT&CK Technique: T1564.004: NTFS File Attributes
CustomShellHost.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/CustomShellHost/,ATT&CK Technique: T1218: System Binary Proxy Execution
DataSvcUtil.exe,Function: Upload,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/DataSvcUtil/,ATT&CK Technique: T1567: Exfiltration Over Web Service
Desktopimgdownldr.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Desktopimgdownld=,ATT&CK Technique: T1105: Ingress Tool Transfer
DeviceCredentialDeployment.exe,Function: Blank Per LOLBAS Project,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/DeviceCredential=,ATT&CK Technique: T1564: Hide Artifacts
Dfsvc.exe,Function: AWL bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Dfsvc/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Diantz.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Diantz/,ATT&CK Technique: T1564.004: NTFS File Attributes
Diantz.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Diantz/,ATT&CK Technique: T1105: Ingress Tool Transfer
Diskshadow.exe,Function: Dump,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Diskshadow/,ATT&CK Technique: T1003.003: NTDS
Diskshadow.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Diskshadow/,ATT&CK Technique: T1202: Indirect Command Execution
Dnscmd.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Dnscmd/,ATT&CK Technique: T1543.003: Windows Service
Esentutl.exe,Function: Copy,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Esentutl/,ATT&CK Technique: T1105: Ingress Tool Transfer
Esentutl.exe,Function: Alternate data streams,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Esentutl/,ATT&CK Technique: T1564.004: NTFS File Attributes
Esentutl.exe,Function: Download,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Esentutl/,ATT&CK Technique: T1003.003: NTDS
Eventvwr.exe,Function: UAC bypass,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Eventvwr/,ATT&CK Technique: T1548.002: Bypass User Account Control
Expand.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Expand/,ATT&CK Technique: T1105: Ingress Tool Transfer
Expand.exe,Function: Copy,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Expand/,ATT&CK Technique: T1564.004: NTFS File Attributes
Expand.exe,Function: Alternate data streams,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Expand/,ATT&CK Technique: T1564.004: NTFS File Attributes
Explorer.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Explorer/,ATT&CK Technique: T1202: Indirect Command Execution
Extexport.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Extexport/,ATT&CK Technique: T1218: System Binary Proxy Execution
Extrac32.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Extrac32/,ATT&CK Technique: T1564.004: NTFS File Attributes
Extrac32.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Extrac32/,ATT&CK Technique: T1105: Ingress Tool Transfer
Extrac32.exe,Function: Copy,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Extrac32/,ATT&CK Technique: T1105: Ingress Tool Transfer
Findstr.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Findstr/,ATT&CK Technique: T1564.004: NTFS File Attributes
Findstr.exe,Function: Credentials,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Findstr/,ATT&CK Technique: T1552.001: Credentials In Files
Findstr.exe,Function: Download,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Findstr/,ATT&CK Technique: T1105: Ingress Tool Transfer
Finger.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Finger/,ATT&CK Technique: T1105: Ingress Tool Transfer
fltMC.exe,Function: Alternate data streams,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/FltMC/,ATT&CK Technique: T1562.001: Disable or Modify Tools
Forfiles.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Forfiles/,ATT&CK Technique: T1202: Indirect Command Execution
Forfiles.exe,Function: Alternate data streams,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Forfiles/,ATT&CK Technique: T1564.004: NTFS File Attributes
Ftp.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ftp/,ATT&CK Technique: T1202: Indirect Command Execution
Ftp.exe,Function: Download,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ftp/,ATT&CK Technique: T1105: Ingress Tool Transfer
GfxDownloadWrapper.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/GfxDownloadWrapp=,ATT&CK Technique: T1105: Ingress Tool Transfer
Gpscript.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Gpscript/,ATT&CK Technique: T1218: System Binary Proxy Execution
Hh.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Hh/ ,ATT&CK Technique: T1105: Ingress Tool Transfer
Hh.exe,Function: Execute,Type: ,Link:   https://lolbas-project.github.io/lolbas/Binaries/Hh/ ,ATT&CK Technique: T1218.001: Compiled HTML File
IMEWDBLD.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/IMEWDBLD/,ATT&CK Technique: T1105: Ingress Tool Transfer
Ie4uinit.exe,Function: Execute,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ie4uinit/,ATT&CK Technique: T1218: System Binary Proxy Execution
Ieexec.exe,Function: Download,Type: Binaries,Link:   https://lolbas-project.github.io/lolbas/Binaries/Ieexec/,ATT&CK Technique: T1105: Ingress Tool Transfer
